kind,day,position_id,symbol,side,open_time,close_time,volume,closed_volume,avg_entry,avg_exit,closed_pnl,commission,swap,deal_count,magic_values,comments,tickets
BOT,2026-06-24,19557620,XAUUSD,SELL,2026-06-24 16:11:21,2026-06-24 16:32:47,0.01,0.01,3971.11,3993.65,-22.54,0.0,0.0,2,88001,GOLD_PRO_TP3 | [sl 3993.45],"17312989,17313428"
BOT,2026-06-24,19560453,XAUUSD,SELL,2026-06-24 18:33:16,2026-06-24 20:22:39,0.01,0.01,4009.62,3997.35,12.27,0.0,0.0,2,"0,88001",GOLD_PRO_TP1,"17315856,17317362"
BOT,2026-06-24,19560454,XAUUSD,SELL,2026-06-24 18:33:16,2026-06-24 20:22:39,0.01,0.01,4009.49,3997.35,12.14,0.0,0.0,2,"0,88001",GOLD_PRO_TP2,"17315857,17317363"
BOT,2026-06-24,19560455,XAUUSD,SELL,2026-06-24 18:33:17,2026-06-24 20:22:39,0.01,0.01,4009.5,3997.35,12.15,0.0,0.0,2,"0,88001",GOLD_PRO_TP3,"17315858,17317364"
MANUAL,2026-06-24,19561376,XAUUSD,SELL,2026-06-24 19:39:44,2026-06-24 20:22:39,0.05,0.05,4019.09,3997.35,108.7,0.0,0.0,2,0,,"17316784,17317365"
MANUAL,2026-06-25,19563951,XAUUSD,SELL,2026-06-25 01:48:56,2026-06-25 02:26:47,0.05,0.05,3999.37,4000.05,-3.4,0.0,0.0,2,0,,"17319389,17319431"
MANUAL,2026-06-25,19564024,XAUUSD,SELL,2026-06-25 02:39:44,2026-06-25 03:30:13,0.05,0.05,4015.92,3994.34,107.9,0.0,0.0,2,0,,"17319454,17319537"
MANUAL,2026-06-25,19564165,XAUUSD,BUY,2026-06-25 03:49:22,2026-06-25 03:50:59,0.05,0.05,3980.74,3985.52,23.9,0.0,0.0,2,0,,"17319598,17319600"
MANUAL,2026-06-25,19564211,XAUUSD,SELL,2026-06-25 04:05:18,2026-06-25 04:10:12,0.05,0.05,3992.86,3988.63,21.15,0.0,0.0,2,0,,"17319640,17319651"
MANUAL,2026-06-25,19564215,XAUUSD,SELL,2026-06-25 04:05:58,2026-06-25 04:10:12,0.05,0.05,3997.01,3988.63,41.9,0.0,0.0,2,0,,"17319644,17319652"
MANUAL,2026-06-25,19564322,XAUUSD,BUY,2026-06-25 04:43:10,2026-06-25 05:19:40,0.05,0.05,3986.49,3980.94,-27.75,0.0,0.0,2,0,,"17319752,17319913"
MANUAL,2026-06-25,19564359,XAUUSD,BUY,2026-06-25 04:44:23,2026-06-25 05:02:16,0.05,0.05,3980.08,3981.26,5.9,0.0,0.0,2,0,,"17319789,17319825"
MANUAL,2026-06-25,19564379,XAUUSD,BUY,2026-06-25 04:58:32,2026-06-25 05:17:33,0.05,0.05,3973.39,3973.62,1.15,0.0,0.0,2,0,,"17319812,17319902"
MANUAL,2026-06-25,19564452,XAUUSD,BUY,2026-06-25 05:08:48,2026-06-25 05:19:40,0.05,0.05,3966.97,3980.94,69.85,0.0,0.0,2,0,,"17319885,17319914"
BOT,2026-06-25,19565783,XAUUSD,SELL,2026-06-25 11:00:04,2026-06-25 11:11:38,0.03,0.03,3987.39,3984.8,7.77,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 3984.91],"17321193,17321274"
BOT,2026-06-25,19565868,XAUUSD,SELL,2026-06-25 11:12:04,2026-06-25 11:21:01,0.03,0.03,3984.55,3998.37,-41.46,0.0,0.0,2,88001,GOLD_PRO_TP1 | [sl 3998.08],"17321277,17321325"
BOT,2026-06-25,19565869,XAUUSD,SELL,2026-06-25 11:12:04,2026-06-25 11:21:01,0.02,0.02,3984.68,3998.37,-27.38,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 3998.08],"17321278,17321326"
BOT,2026-06-25,19565915,XAUUSD,SELL,2026-06-25 11:21:03,2026-06-25 15:15:15,0.01,0.01,3997.64,3982.36,15.28,0.0,0.0,2,"0,88001",GOLD_PRO_TP1,"17321328,17322610"
BOT,2026-06-25,19567227,XAUUSD,SELL,2026-06-25 15:20:04,2026-06-25 15:20:06,0.02,0.02,3982.12,3981.86,0.52,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 3982.01],"17322644,17322646"
BOT,2026-06-25,19567228,XAUUSD,SELL,2026-06-25 15:20:05,2026-06-25 15:47:50,0.01,0.01,3982.18,4013.24,-31.06,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 4013.14],"17322645,17323135"
MANUAL,2026-06-25,19567547,XAUUSD,SELL,2026-06-25 15:36:09,2026-06-25 15:40:35,0.05,0.05,3993.2,3992.89,1.55,0.0,0.0,2,0,,"17322966,17323054"
MANUAL,2026-06-25,19567577,XAUUSD,SELL,2026-06-25 15:37:10,2026-06-25 16:55:30,0.05,0.05,4003.35,4003.17,0.9,0.0,0.0,2,0,,"17322998,17324258"
MANUAL,2026-06-25,19567650,XAUUSD,SELL,2026-06-25 15:42:51,2026-06-25 16:55:29,0.05,0.05,4004.28,4003.31,4.85,0.0,0.0,2,0,,"17323069,17324256"
MANUAL,2026-06-25,19567706,XAUUSD,SELL,2026-06-25 15:47:39,2026-06-25 16:55:38,0.05,0.05,4010.45,4002.7,38.75,0.0,0.0,2,0,,"17323130,17324261"
