position_id,strategy,symbol,side,first_time,last_time,volume_in,volume_out,avg_entry,avg_exit,pnl,commission,swap,magics,comments
1353925337,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:17:54,2026-06-10 02:17:54,0.01,0.01,4293.85,4230.83,63.02,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4230.83000]
1353925338,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-09 18:17:54,2026-06-09 18:31:49,0.01,0.01,4293.8,4269.61,24.19,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4269.61000]
1353925344,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:17:54,2026-06-09 19:38:12,0.01,0.01,4293.862,4250.22,43.64,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4250.22000]
1353925354,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:17:54,2026-06-10 02:17:54,0.01,0.01,4293.862,4230.83,63.03,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4230.83000]
1353925357,GOLD_PRO_TP1,GBPUSDm,BUY,2026-06-09 18:18:00,2026-06-09 18:37:24,0.01,0.01,1.33968,1.33727,-2.41,0.0,0.0,88001,GOLD_PRO_TP1 / [sl 1.33727]
1353925359,GOLD_PRO_TP2,GBPUSDm,BUY,2026-06-09 18:18:00,2026-06-09 18:37:24,0.01,0.01,1.33968,1.33727,-2.41,0.0,0.0,88001,GOLD_PRO_TP2 / [sl 1.33727]
1353925363,GOLD_PRO_TP3,GBPUSDm,BUY,2026-06-09 18:18:00,2026-06-09 18:37:24,0.01,0.01,1.33968,1.33727,-2.41,0.0,0.0,88001,GOLD_PRO_TP3 / [sl 1.33727]
1353926235,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:18:06,2026-06-09 19:38:11,0.01,0.01,4294.082,4250.88,43.2,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4250.88000]
1353926250,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:18:06,2026-06-10 02:17:54,0.01,0.01,4294.082,4231.49,62.59,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4231.49000]
1353926734,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:18:16,2026-06-09 19:38:11,0.01,0.01,4294.77,4251.14,43.63,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4251.14000]
1353926735,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:18:16,2026-06-10 02:17:54,0.01,0.01,4294.77,4231.75,63.02,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4231.75000]
1353926743,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-09 18:18:16,2026-06-09 18:31:49,0.01,0.01,4294.77,4270.53,24.24,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4270.53000]
1353926746,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:18:16,2026-06-09 19:38:11,0.01,0.01,4294.77,4251.14,43.63,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4251.14000]
1353926750,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:18:16,2026-06-10 02:17:54,0.01,0.01,4294.77,4231.75,63.02,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4231.75000]
1353929402,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:18:49,2026-06-09 19:38:11,0.01,0.01,4294.584,4251.04,43.54,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4251.04000]
1353929404,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:18:49,2026-06-10 02:17:54,0.01,0.01,4294.584,4231.65,62.93,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4231.65000]
1353932213,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:19:07,2026-06-09 19:38:13,0.01,0.01,4292.248,4248.64,43.61,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4248.64000]
1353932215,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:19:07,2026-06-10 02:17:56,0.01,0.01,4292.248,4229.25,63.0,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4229.25000]
1353933256,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:19:49,2026-06-09 19:38:13,0.01,0.01,4292.359,4248.78,43.58,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4248.78000]
1353933262,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:19:49,2026-06-10 02:17:56,0.01,0.01,4292.359,4229.39,62.97,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4229.39000]
1353934982,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-09 18:20:26,2026-06-09 18:31:49,0.01,0.01,4293.06,4268.82,24.24,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4268.82000]
1353934986,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:20:26,2026-06-09 19:38:12,0.01,0.01,4293.06,4249.43,43.63,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4249.43000]
1353934988,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:20:26,2026-06-10 02:17:55,0.01,0.01,4293.06,4230.04,63.02,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4230.04000]
1353945061,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-09 18:21:08,2026-06-09 18:31:52,0.01,0.01,4291.79,4267.55,24.24,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4267.55000]
1353945064,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 18:21:08,2026-06-09 19:38:13,0.01,0.01,4291.79,4248.16,43.63,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4248.16000]
1353945066,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 18:21:08,2026-06-10 02:18:01,0.01,0.01,4291.79,4228.77,63.02,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 4228.77000]
1353925366,GOLD_PRO_TP1,USDJPYm,BUY,2026-06-09 18:57:30,2026-06-10 05:37:48,0.01,0.01,160.236,160.338,0.64,0.0,0.0,"0,88001",GOLD_PRO_TP1
1353925369,GOLD_PRO_TP2,USDJPYm,BUY,2026-06-09 18:57:30,2026-06-10 05:37:48,0.01,0.01,160.236,160.338,0.64,0.0,0.0,"0,88001",GOLD_PRO_TP2
1353925375,GOLD_PRO_TP3,USDJPYm,BUY,2026-06-09 18:57:30,2026-06-10 05:37:48,0.01,0.01,160.236,160.338,0.64,0.0,0.0,"0,88001",GOLD_PRO_TP3
1354583633,GOLD_PRO_TP1,USDJPYm,BUY,2026-06-09 19:32:41,2026-06-10 05:37:48,0.01,0.01,160.373,160.338,-0.22,0.0,0.0,"0,88001",GOLD_PRO_TP1
1354583635,GOLD_PRO_TP2,USDJPYm,BUY,2026-06-09 19:32:41,2026-06-10 05:37:48,0.01,0.01,160.373,160.338,-0.22,0.0,0.0,"0,88001",GOLD_PRO_TP2
1354583645,GOLD_PRO_TP3,USDJPYm,BUY,2026-06-09 19:32:41,2026-06-10 05:37:48,0.01,0.01,160.373,160.338,-0.22,0.0,0.0,"0,88001",GOLD_PRO_TP3
1354658191,GOLD_PRO_TP1,USDJPYm,BUY,2026-06-09 19:38:34,2026-06-10 05:37:48,0.01,0.01,160.384,160.338,-0.29,0.0,0.0,"0,88001",GOLD_PRO_TP1
1354658240,GOLD_PRO_TP2,USDJPYm,BUY,2026-06-09 19:38:34,2026-06-10 05:37:48,0.01,0.01,160.384,160.338,-0.29,0.0,0.0,"0,88001",GOLD_PRO_TP2
1354658294,GOLD_PRO_TP3,USDJPYm,BUY,2026-06-09 19:38:34,2026-06-10 05:37:48,0.01,0.01,160.384,160.338,-0.29,0.0,0.0,"0,88001",GOLD_PRO_TP3
1354934908,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-09 20:01:19,2026-06-10 05:06:08,0.01,0.01,4255.11,4183.4,71.71,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4183.40000]
1354934918,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-09 20:01:19,2026-06-10 05:37:49,0.01,0.01,4255.11,4183.577,71.53,0.0,0.0,"0,88001",GOLD_PRO_TP2
1354934925,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-09 20:01:19,2026-06-10 05:37:49,0.01,0.01,4255.11,4183.577,71.53,0.0,0.0,"0,88001",GOLD_PRO_TP3
1354662768,GOLD_PRO_TP1,USDJPYm,BUY,2026-06-09 20:01:29,2026-06-10 05:37:48,0.01,0.01,160.381,160.338,-0.27,0.0,0.0,"0,88001",GOLD_PRO_TP1
1354662783,GOLD_PRO_TP2,USDJPYm,BUY,2026-06-09 20:01:29,2026-06-10 05:37:48,0.01,0.01,160.381,160.338,-0.27,0.0,0.0,"0,88001",GOLD_PRO_TP2
1354662821,GOLD_PRO_TP3,USDJPYm,BUY,2026-06-09 20:01:29,2026-06-10 05:37:48,0.01,0.01,160.381,160.338,-0.27,0.0,0.0,"0,88001",GOLD_PRO_TP3
1354662843,GOLD_PRO_TP1,USDJPYm,BUY,2026-06-09 20:01:29,2026-06-10 05:37:48,0.01,0.01,160.381,160.338,-0.27,0.0,0.0,"0,88001",GOLD_PRO_TP1
1354662870,GOLD_PRO_TP2,USDJPYm,BUY,2026-06-09 20:01:29,2026-06-10 05:37:48,0.01,0.01,160.381,160.338,-0.27,0.0,0.0,"0,88001",GOLD_PRO_TP2
